village;code_postal;latitude;longitude;region
Mortemart;87330;46.0484465758;0.95503235222;Limousin
Mosset;66500;42.6739429511;2.30444228005;Languedoc-Roussillon
Moustiers-Sainte-Marie;4360;43.8383278559;6.22818909628;Provence-Alpes-Côte d'Azur
Najac;12270;44.211295506;1.96305922109;Midi-Pyrénées
Noyers;89310;47.6952215995;3.98085741528;Bourgogne
Oingt;69620;45.9483312216;4.58594811188;Rhône-Alpes
Olargues;34390;43.540135455;2.91772316116;Languedoc-Roussillon
Olette;66360;42.5955754383;2.24262771832;Languedoc-Roussillon
Parfondeval;2360;49.7443573688;4.16145285338;Picardie
Pérouges;1800;45.8803945768;5.17955874977;Rhône-Alpes
Pesmes;70140;47.2915778298;5.57274698135;Franche Comté
Piana;20115;42.2260344023;8.62798195907;Corse
Pradelles;43420;44.7650507799;3.87177102948;Auvergne
Prévenchères;48800;44.5189016289;3.92049351127;Languedoc-Roussillon
Pujols;47300;44.3705410959;0.698420769964;Aquitaine
Puycelsi;81140;43.9765161784;1.70709054548;Midi-Pyrénées
Riquewihr;68340;48.1787804995;7.27259187393;Alsace
Rochefort-en-Terre;56220;47.6983579224;-2.34412952507;Bretagne
Rodemack;57570;49.4637445576;6.24710550815;Lorraine
Roussillon;84220;43.9012816878;5.29201885718;Provence-Alpes-Côte d'Azur
Saint-Amand-de-Coly;24290;45.0521923341;1.24653200545;Aquitaine
Saint-Antoine-l'Abbaye;38160;45.1722353559;5.21609050981;Rhône-Alpes
Saint-Benoît-du-Sault;36170;46.4476641903;1.39936861789;Centre
Saint-Bertrand-de-Comminges;31510;43.0239495224;0.552413106275;Midi-Pyrénées
Saint-Céneri-le-Gérei;61250;48.389040252;-0.0400378632747;Basse-Normandie
Saint-Cirq-Lapopie;46330;44.456177199;1.65375113458;Midi-Pyrénées
Saint-Côme-d'Olt;12500;44.5314215162;2.82190819996;Midi-Pyrénées
Saint-Floret;63320;45.5393613066;3.0936807019;Auvergne
Saint-Guilhem-le-Désert;34150;43.756664412;3.54505481445;Languedoc-Roussillon
Saint-Jean-de-Côle;24800;45.4135771577;0.83539033285;Aquitaine
Saint-Léon-sur-Vézère;24290;45.0180206005;1.08035107771;Aquitaine
Saint-Quirin;57560;48.5845453315;7.11411356549;Lorraine
Saint-Robert;19310;45.2536741713;1.29535319885;Limousin
Saint-Saturnin;63450;45.66385711;3.07392244735;Auvergne
Saint-Suliac;35430;48.569900609;-1.96692288512;Bretagne
Saint-Véran;5350;44.684530806;6.8905743766;Provence-Alpes-Côte d'Azur
Sainte-Agnès;6500;43.8055344567;7.46128496982;Provence-Alpes-Côte d'Azur
Sainte-Croix-en-Jarez;42800;45.4769382751;4.63422150362;Rhône-Alpes
Sainte-Enimie;48210;44.3777129567;3.41934570392;Languedoc-Roussillon
Sainte-Eulalie-d'Olt;12130;44.4661013084;2.91950653018;Midi-Pyrénées
Sainte-Suzanne;53270;48.1028813013;-0.354680320285;Pays de la Loire
Salers;15140;45.1450926367;2.49622722458;Auvergne
Sant'Antonino;20220;42.5845277906;8.90827098079;Corse
Sare;64310;43.296231493;-1.58652920554;Aquitaine
Sarrant;32120;43.7704131309;0.928322763871;Midi-Pyrénées
Sauveterre-de-Rouergue;12800;44.2478234048;2.31504773118;Midi-Pyrénées
Ségur-le-Château;19230;45.427657429;1.30428297034;Limousin
Séguret;84110;44.2159640237;5.02881720149;Provence-Alpes-Côte d'Azur
Seillans;83440;43.6466457482;6.61301408536;Provence-Alpes-Côte d'Azur
Semur-en-Brionnais;71110;46.2756396728;4.09014154762;Bourgogne
Sixt-Fer-à-Cheval;74740;46.0542010133;6.81232553172;Rhône-Alpes
Talmont-sur-Gironde;17120;45.54345601;-0.901968620389;Poitou-Charentes
Tournemire;15310;45.0547955278;2.49043476858;Auvergne
Tourtour;83690;43.5935800875;6.310682972;Provence-Alpes-Côte d'Azur
Turenne;19500;45.0610532957;1.57106480469;Limousin
Usson;63490;45.5273145167;3.3428220129;Auvergne
Venasque;84210;43.9851237661;5.16506865588;Provence-Alpes-Côte d'Azur
Vézelay;89450;47.4524539513;3.71058845441;Bourgogne
Villefranche-de-Conflent;66500;42.5964793448;2.3599348086;Languedoc-Roussillon
Vogüé;7200;44.5576610723;4.41089587827;Rhône-Alpes
Vouvant;85120;46.5626835135;-0.764380170382;Pays de la Loire
Yèvre-la-Ville;45300;48.1427599293;2.32302626395;Centre
Yvoire;74140;46.3635082871;6.33214094024;Rhône-Alpes
